Timestamp;GazeX;GazeY;LeftEye;RightEye;LineNumber
78446948,9593748;994,9219;336,9034;True;True;5
78446980,0116322;988,6831;338,7758;True;True;5
78446993,8680088;992,3925;337,8398;True;True;5
78447009,0476426;994,2271;341,0521;True;True;5
78447023,8634852;991,4554;344,4091;True;True;5
78447038,8097148;990,9266;347,411;True;True;5
78447055,011157;996,5512;354,6784;True;True;5
78447068,8443453;1022,36;357,942;True;True;5
78447083,9110783;1039,401;357,0013;True;True;5
78447099,3168937;1049,934;354,6739;True;True;5
78447130,008401;1069,777;357,2732;True;True;5
78447144,561949;1066,617;367,4707;True;True;5
78447158,9858703;1066,109;368,5843;True;True;5
78447174,0507027;1066,528;367,1823;True;True;5
78447189,4386516;1062,559;358,2651;True;True;5
78447203,9321379;1061,178;351,7914;True;True;5
78447218,9851861;1060,819;349,6294;True;True;5
78447234,1028575;1060,18;349,7672;True;True;5
78447248,765885;1061,113;342,1866;True;True;5
78447280,1180706;1046,208;354,4074;False;True;5
78447294,1877041;1055,042;352,9436;True;True;5
78447308,8473103;1100,295;340,2367;True;True;5
78447324,0429099;1118,79;344,1417;True;True;5
78447339,1632423;1127,005;339,8748;True;True;5
78447354,1398828;1131,102;339,5098;True;True;5
78447369,4499036;1136,072;338,5732;False;True;5
78447384,0806195;1140,031;336,0965;False;True;5
78447398,9439792;1152,693;333,93;True;True;5
78447429,9958565;1154,492;325,4997;True;True;5
78447443,7720242;1155,299;325,2914;True;True;5
78447459,7202951;1158,3;321,2941;False;True;5
78447473,754956;1163,555;320,4521;False;True;5
78447488,9315487;1168,754;314,1668;True;True;5
78447504,0914154;1170,053;321,9222;False;True;5
78447518,8772271;1170,688;329,3258;False;True;5
78447533,8314396;1166,358;327,5589;True;True;5
78447549,2771693;1173,335;326,1619;True;True;5
78447579,7713856;1201,761;319,6646;True;True;5
78447594,4762281;1216,722;315,3727;True;True;5
78447609,09592;1232,952;314,2929;True;True;5
78447623,9364715;1239,52;313,9677;True;True;5
78447639,7596773;1253,31;316,2331;True;True;5
78447653,5339443;1266,314;311,3495;True;True;5
78447668,7230815;1271,789;317,0452;True;True;5
78447684,2186092;1270,477;318,7264;True;True;5
78447699,1298662;1272,861;327,3392;True;True;5
78447730,4284525;1272,838;327,8851;True;True;5
78447743,8453906;1273,29;330,6519;True;True;5
78447758,6829011;1262,807;340,6848;True;True;5
78447774,4030897;1266,769;341,804;True;True;5
78447788,9650008;1276,978;333,0317;True;True;5
78447804,0286928;1274,692;334,6612;True;True;5
78447819,5667958;1279,315;331,3557;True;True;5
78447833,9591657;1280,65;334,2203;True;True;5
78447849,1270152;1299,986;342,549;True;True;5
78447879,9435877;1322,009;347,1114;True;True;5
78447893,8987999;1329,331;346,7608;True;True;5
78447909,2377111;1344,533;341,8052;True;True;5
78447924,3185093;1335,362;341,9102;True;True;5
78447939,2719615;1344,163;341,0757;True;True;5
78447954,7230131;1331,352;335,7642;True;True;5
78447968,7420884;1329,564;334,0463;True;True;5
78447983,8582393;1330,704;331,731;True;True;5
78447999,2245204;1333,038;324,3167;True;True;5
78448030,0737846;1336,574;322,0585;True;True;5
78448044,1753496;1340,239;315,7302;True;True;5
78448058,7509456;1335,327;320,19;True;True;5
78448073,9385622;1324,221;325,1425;True;True;0
78448103,9260557;858,3441;317,8005;True;True;0
78448119,0174977;756,8958;310,8078;True;True;0
78448133,824217;755,5074;316,1403;True;True;0
78448148,7886932;720,1098;335,7615;False;True;0
78448180,0447041;632,821;387,1465;False;True;0
78448194,0968513;635,1683;382,0362;False;True;0
78448224,1691154;641,9597;360,168;True;True;0
78448238,7070778;632,6016;363,3549;True;True;0
78448253,7692492;635,2377;362,7637;True;True;0
78448269,0701467;634,0779;363,2795;True;True;0
78448283,7422975;629,223;368,8798;True;True;0
78448298,860349;619,2882;370,6713;True;True;0
78448329,719877;619,149;371,2142;True;True;0
78448343,5549659;617,4553;366,0965;True;True;6
78448358,5973702;622,3024;372,3029;False;True;6
78448373,7154218;621,0468;373,4729;True;True;6
78448391,3929363;640,7998;368,5945;True;True;6
78448407,1154058;642,5101;366,8374;True;True;6
78448423,87679;642,9619;365,1519;True;True;6
78448437,0086253;642,6364;358,1777;True;True;6
78448448,5761966;633,7298;345,3473;True;False;6
78448479,7759472;639,1859;351,1352;True;False;6
78448494,7681734;637,7407;351,2206;True;True;6
78448511,7929925;634,5455;348,5204;True;True;6
78448528,5156027;641,0152;370,7444;True;True;6
78448546,2585008;649,9168;376,8912;True;True;6
78448559,4378533;659,3318;376,9066;True;True;6
78448568,7268829;664,2971;378,5761;True;True;6
78448584,4421298;667,1226;380,7901;True;True;6
78448599,0458559;684,4933;378,693;True;True;6
78448629,7567503;698,9465;392,8793;False;True;6
78448644,2479558;691,6194;414,1633;False;True;6
78448658,5977504;697,2906;395,0677;True;True;6
78448674,5870761;696,766;398,9044;True;True;6
78448689,8989976;699,6224;385,7903;True;True;6
78448703,3744768;710,3809;348,0787;True;True;6
78448719,0395457;710,3094;349,0617;True;True;6
78448734,2841829;714,9235;345,6287;True;True;6
78448748,6556452;722,7982;346,1252;True;True;6
78448779,8987315;723,9114;356,0064;True;True;6
78448793,6528512;722,6273;362,9502;True;True;6
78448809,3342659;716,7852;357,8015;True;True;6
78448823,6205776;720,9409;366,4316;True;True;6
78448838,8830812;723,1853;378,0928;True;True;6
78448854,4690816;726,3192;384,6142;True;True;6
78448868,9389994;721,4629;369,7955;True;True;6
78448884,0775784;733,3323;367,4131;True;True;6
78448899,0952737;739,1541;379,3136;True;True;6
78448929,9791305;736,94;376,4103;True;True;6
78448943,9974455;729,29;364,6197;True;True;6
78448958,8414182;727,6145;363,9912;True;True;6
78448973,7397505;728,6609;364,5446;True;True;6
78448993,1563922;733,9944;364,3658;True;True;6
78449006,6824297;780,738;360,5103;True;True;6
78449018,9445114;792,2139;369,6448;True;True;6
78449034,4252137;794,4886;379,112;True;True;6
78449048,8308884;806,2877;387,4501;True;True;6
78449079,95005;808,3149;381,1339;True;True;6
78449093,7007485;805,9568;379,2502;True;True;6
78449109,0822351;814,2485;383,7532;True;True;6
78449124,1041119;818,2588;384,9209;True;True;6
78449138,9245162;818,4567;381,4122;True;True;6
78449153,9479136;815,6121;382,924;True;True;6
78449169,001722;816,5359;381,7354;True;True;6
78449183,882568;812,6568;382,8409;True;True;6
78449202,3701547;818,6724;379,4824;True;True;6
78449233,1437716;823,3041;369,2808;True;True;6
78449247,3715422;824,8607;357,7384;True;True;6
78449260,6029734;824,1582;358,5559;True;True;6
78449274,7326686;824,3234;360,9232;True;True;6
78449289,7195729;816,3315;381,1153;True;True;6
78449305,3329431;817,8048;381,1498;True;True;6
78449319,7313951;828,0569;383,05;True;True;6
78449334,7604946;832,6563;383,1506;True;True;6
78449350,2031833;843,5542;385,4041;False;True;6
78449380,8813858;864,6728;377,3543;True;True;6
78449395,7234579;873,6352;382,2494;True;True;6
78449409,9614921;874,6816;382,3191;True;True;6
78449424,8104066;873,8718;381,3434;True;True;6
78449441,2258661;873,7711;372,202;True;True;6
78449454,8792495;867,5432;353,8541;True;True;6
78449469,8289003;866,0084;356,2227;True;True;6
78449485,2962978;867,0292;352,5534;True;True;6
78449499,8008082;865,8111;357,123;True;True;6
78449530,9435382;864,2753;377,9333;True;True;6
78449544,7733053;863,9476;391,1212;True;True;6
78449559,3660074;894,0671;386,5866;True;True;6
78449574,3935863;916,0571;384,1746;True;True;6
78449588,4533363;921,6714;384,6984;True;True;6
78449603,2783021;939,716;375,9402;True;True;6
78449618,8593607;973,0074;370,6076;False;True;6
78449633,4706895;975,5722;366,3565;True;True;6
78449648,4465698;971,7496;366,7217;True;True;6
78449679,8888479;971,2963;367,0294;True;True;6
78449693,5908889;969,9488;370,2444;True;True;6
78449708,8693583;966,2988;370,6305;False;True;6
78449723,5354269;959,3346;387,3135;False;True;6
78449738,6371326;954,4557;396,6564;True;True;6
78449753,8943143;957,6996;385,2214;True;True;6
78449768,2729992;953,6857;354,8433;True;True;6
78449783,801979;954,8372;360,3819;True;False;6
78449799,25113;957,9514;364,2119;True;True;6
78449829,8681304;971,9133;372,9654;True;True;6
78449844,2437743;984,3455;401,048;True;True;6
78449858,7129319;984,6317;398,7865;True;True;6
78449873,8921855;1063,588;376,2411;True;True;6
78449889,1482269;1070,486;374,2594;True;True;6
78449903,890703;1055,511;380,241;True;True;6
78449918,8681038;1057,882;378,9427;True;True;6
78449934,4560048;1052,555;378,4583;True;True;6
78449948,7005014;1060,216;371,0587;True;True;6
78449980,0424233;1064,916;370,2215;True;False;6
78449993,6498101;1062,682;371,7177;True;True;6
78450008,9016699;1065,174;371,0078;True;True;6
78450024,0303653;1062,462;372,7337;True;True;6
78450039,0685881;1060,868;373,9526;True;True;6
78450054,2942185;1056,15;379,0155;True;True;6
78450069,4772735;1053,889;383,0277;True;True;6
78450083,8004584;1040,941;399,8246;True;True;6
78450098,8124518;1046,7;390,597;True;True;6
78450129,9950962;1050,036;393,6989;True;True;6
78450143,6165481;1058,59;390,7553;False;True;6
78450159,3595451;1116,999;368,7428;True;True;6
78450174,0499424;1121,453;372,7981;True;True;6
78450188,7513637;1135,76;387,1571;True;True;6
78450203,9872578;1138,772;387,2582;False;True;6
78450218,7723093;1139,772;386,4244;True;True;6
78450233,5140252;1136,873;387,1979;False;True;6
78450248,7263507;1149,524;394,4451;False;True;6
78450279,9884438;1147,901;380,6217;True;True;6
78450294,0865876;1145,268;370,775;True;True;6
78450308,9081323;1166,314;372,5145;True;True;6
78450323,6547899;1184,727;380,508;True;True;6
78450339,4810369;1211,664;389,9928;True;True;6
78450353,7969992;1226,488;388,2204;True;True;6
78450368,937859;1238,776;374,3508;True;True;6
78450384,3949928;1240,824;375,8813;True;True;6
78450399,1279655;1244,367;375,9473;True;True;6
78450430,5010587;1245,931;386,2692;False;True;6
78450443,6731886;1249,354;390,2939;True;True;6
78450458,8627059;1253,464;392,3825;True;True;6
78450474,2168226;1263,86;389,7803;True;True;6
78450488,8064836;1265,443;378,0519;True;True;6
78450504,0480797;1262,586;363,0786;True;True;6
78450519,5683163;1258,842;360,4791;True;True;6
78450533,7033334;1255,888;354,573;True;True;6
78450548,6974603;1257,131;348,0541;True;True;6
78450580,0009883;1328,392;384,1959;True;True;6
78450593,7467451;1326,542;386,7914;True;True;6
78450609,6075845;1326,265;390,194;True;True;6
78450623,7026872;1326,112;391,5312;True;True;6
78450638,9807765;1333,484;385,5721;True;True;6
78450654,7686296;1328,905;389,1906;True;True;6
78450668,8876809;1326,815;390,1371;True;True;6
78450683,7487598;1328,971;388,3848;True;True;6
78450699,5415547;1333,344;378,4044;True;True;6
78450729,4762091;1344,607;368,1662;True;True;6
78450744,1495003;1350,324;351,4824;True;True;6
78450758,9421545;1353,287;352,51;True;True;6
78450773,8347848;1351,146;354,7957;True;True;6
78450789,6492475;1351,988;356,3782;True;True;6
78450803,9287167;1353,185;355,5214;True;True;6
78450818,8376929;1357,355;364,0859;True;True;6
78450834,389861;1358,06;367,2328;True;True;6
78450848,8609193;1355,513;373,9646;True;True;6
78450879,8801048;1357,404;372,7584;True;False;6
78450893,7999643;1361,902;366,2794;True;True;6
78450908,9678138;1377,493;357,909;True;True;6
78450924,1451667;1378,254;358,5701;True;True;6
78450938,9617696;1380,039;356,5378;True;True;6
78450953,9471533;1377,553;359,8929;True;True;6
78450969,3297803;1375,347;367,3031;True;True;6
78450984,9188217;1372,591;369,4235;True;True;6
78450998,8614894;1377,012;374,1569;True;True;6
78451029,7278599;1372,035;372,2462;True;True;6
78451043,7796269;1382,677;378,6229;True;True;6
78451073,3812813;1336,55;373,204;True;True;0
78451088,6198363;1118,595;405,1601;True;True;0
78451103,8595317;1045,903;412,5679;True;True;0
78451118,7099668;984,5811;408,8063;True;True;0
78451133,8318198;884,4287;404,5253;True;True;0
78451149,198481;701,2617;401,6346;False;True;0
78451183,2933556;696,7567;419,9964;True;True;0
78451198,0780269;696,244;420,4757;True;True;0
78451211,6143281;695,1977;418,576;True;True;0
78451226,9152256;693,804;406,8759;True;True;0
78451240,4838385;693,5833;404,3973;True;True;0
78451254,5321843;693,4272;400,7957;True;True;0
78451269,5833317;687,301;396,9187;True;True;0
78451285,4544349;686,9356;394,0214;True;True;0
78451299,4735101;676,2143;396,4355;True;True;0
78451330,9188293;663,3106;418,0514;True;True;0
78451344,4977059;659,1705;442,2802;True;True;0
78451359,3397779;657,6976;456,4146;True;True;0
78451375,0698502;656,1563;464,1824;True;True;0
78451389,3466584;648,8313;485,8805;False;True;0
78451404,509186;645,7196;487,3409;True;True;0
78451419,9621383;647,1151;467,6908;True;True;0
78451434,4495425;648,651;456,0633;True;True;0
78451449,4957482;642,8036;432,71;True;True;0
78451483,0093932;638,3195;411,7869;True;True;0
78451496,9824719;638,0622;412,0355;True;True;0
78451510,4229785;635,7642;416,2609;True;True;0
78451524,794821;624,2532;428,4452;True;True;0
78451539,9022287;624,3157;430,3617;True;True;7
78451555,4080201;628,438;434,1489;True;True;0
78451569,6878694;631,6695;436,2429;True;True;0
78451584,8401334;633,2368;427,2943;True;True;0
78451600,4975994;645,5073;418,0674;False;True;0
78451630,7036717;645,6337;408,495;True;True;0
78451645,4609732;642,82;407,5011;True;True;0
78451659,7240965;641,0832;418,0441;False;True;0
78451674,6980761;640,6229;408,4025;True;True;0
78451690,2255353;639,0264;410,8195;True;True;0
78451704,8056929;638,3111;415,28;True;True;0
78451719,6527068;637,9687;426,9021;True;True;0
78451749,6740325;644,1155;443,7972;True;True;0
78451781,8549169;644,7999;461,2359;True;True;0
78451794,7860398;643,9442;458,9114;True;True;0
78451809,7740845;643,8455;469,5216;True;True;0
78451825,7189343;646,7989;481,9083;True;True;0
78451840,0596055;647,5721;496,2965;True;True;0
78451855,2145304;646,6495;489,6514;True;True;0
78451870,5986779;643,5182;491,3888;False;True;0
78451884,8298696;638,0166;482,6044;False;True;0
78451899,7871232;637,1163;485,4893;True;True;0
78451930,6280245;635,2506;488,6278;True;True;0
78451944,7942128;635,0607;492,4397;True;True;0
78451960,5930899;674,5518;489,6723;True;True;0
78451974,7155624;696,0827;491,5519;True;True;0
78451989,9164839;728,4;486,55;True;True;0
78452005,6203267;718,7289;487,1901;True;True;0
78452019,9484534;723,311;484,9764;True;True;0
78452034,9311762;729,5388;485,3009;True;True;0
78452050,294036;735,5005;479,1167;True;True;0
78452080,895831;744,3705;464,3029;True;True;0
78452094,9513995;739,2368;465,4958;True;False;0
78452109,8288243;736,1893;466,9478;True;True;0
78452124,9803279;733,8258;466,2192;True;True;0
78452140,9107324;734,3412;465,1106;True;True;0
78452154,8651844;736,0761;465,2354;True;True;0
78452169,999962;742,9647;468,0412;True;True;0
78452185,5285616;749,0952;471,489;False;True;0
